Tags,Meaning
vee-validate,For question related with VeeValidate library for Vue.js.
multibyte-characters,
helm-tls,
embarrassingly-parallel,An embarrassingly parallel problem is one for which little or no effort is required to separate the problem into a number of parallel tasks. This is often the case where there exists no dependency (or communication) between those parallel tasks. 
base,A number whose powers are used to represent other numbers (e.g. base 10 = decimal representation)
json-path-expression,"A JSON path expression is an expression, possibly in a domain-specific language, specifying a path to to one or more values within a JSON text. The expression may include filters."
shader,A shader is a program to perform calculations on geometry or pixel data in computer graphics.
azure-application-insights,"For programming questions about Microsoft&#39;s Azure Application Insights, which is a monitoring service for deployed live applications, allowing collection of availability, performance, usage, and other diagnostic data. It supports web services, Windows Store apps, and Windows Phone 8 apps."
cgroups,"cgroups are used to control resource management in kernel. They remain in an hierarchy and a new group can be created just by creating a directory in the appropriate place. Using cgroups, a lot of resource management can be done including memory, cpu etc."
.net-4.7.2,".NET Framework 4.7.2 was released on April 30th, 2018, and includes several improvements.

"
alignment,"In GUI (inc. web page) context, alignment refers to the positioning of visual elements.
Or for memory addresses, being a multiple of some power of 2."
tig,Tig is a text mode git repository browser that additionally can act as a pager for output from various git commands.
null-object-pattern,"A pattern where a specific object is used to represent a null, rather than a true programmatic null, in order to avoid various complications that arise from using an actual null. When using this tag on implementation heavy questions - tag the code language the implementation is written in."
epoch,"Unix time, or POSIX time, is a system for describing points in time, defined as the number of seconds elapsed since midnight Coordinated Universal Time (UTC) of January 1, 1970, not counting leap seconds. This tag is *not* for epochs as used in neural networks/machine learning."
tail-recursion,"Tail recursion is a recursive strategy in which a function does some amount of work, then invokes itself. The &quot;tail&quot; refers to the fact that the recursion is at the very end of the function. Many -- especially functional -- programming language compilers can turn these types of calls into iteration, meaning tail recursion in supported languages can be used without fear of a stack overflow, regardless of the number of calls."
qmediaplayer,The QMediaPlayer class is a part of the Qt framework. It allows playing of media sources.
.net-core-sdk,
android-package-managers,Class for retrieving various kinds of information related to the application packages that are currently installed on the device. You can find this class through getPackageManager().
range,"A range is an extent of values between its lower and upper bound. It can refer to a DOM Range, the Ruby Range class, the Python range function, Perl 5&#39;s `..` operator, Perl 6&#39;s Range Class, or PostgreSQL&#39;s range types."
angular-ngzone,
concurrent-processing,"[CONCURRENT] processing, in sharp contrast to a [PARALLEL] processing, has no specific requirements on when to start, where &amp; in what particular order to execute and when or how to finish a set of tasks, that got a chance to be executed in a free flowing, uncoordinated fashion on a subset of available resources."
mutual-exclusion,Mutual exclusion means that processes must always execute critical sections in time intervals that do not overlap. The mutual exclusion requirement is one of the most basic in an operating system; without it the OS cannot share resources safely.
socketcluster,"SocketCluster is an open source realtime WebSocket framework powered by Node.js.  With both direct client-server communication (like Socket.io) and group communication via pub/sub channels.
Designed to scale both vertically across multiple CPU cores and horizontally across multiple machines/instances."
ehcache-3,"For questions specific to Ehcache version 3. For general question about Ehcache, use the [ehcache] tag "
linter,
libreoffice,"LibreOffice (LibO) is a free and open source office suite, developed by The Document Foundation. It was forked from OpenOffice.org (OOo) in 2010."
flicker,Is a flashing effect displeasing to the eye. Flicker in software is caused by a computer program&#39;s failure to consistently maintain its graphical state. 
mousewheel,A mouse wheel (or scroll wheel) is a hard plastic or rubbery disc (the &quot;wheel&quot;) on a computer mouse that is perpendicular to the mouse surface. It is used for scrolling.
mosquitto,An Open Source MQTT v5/v3.1/v3.1.1 Broker
nice,nice is a UNIX kernel call and the name of a utility employed to lower or raise a process&#39; CPU priority.
context-switch,A context switch is the process of storing and restoring the state (context) of a process.
angular-jit,A JIT-Compiler (Just in time) compiles the source code right when the code is executed. Unlike the AOT-Compiler (Ahead of time) which compiles before the code is executed.
mongodb,"MongoDB is a scalable, high-performance, open source, document-oriented NoSQL database. It supports a large number of languages and application development platforms. Questions about server administration can be asked on https://dba.stackexchange.com."
layer,This tag is ambiguous. Consider using more specific tags to better reflect the question&#39;s content.
writer,"an abstract class, interface or naming convention which is used to state that the given object is used to write data to a file, stream, device or other destination"
assertion,"An assertion is a software construct where the developer states (&quot;asserts&quot;) a condition that he believes will always be true.  If the condition evaluates to false in some languages an exception is thrown, in others a message is printed, and in others the program ceases to operate.
"
jwk,A JSON Web Key is a JSON data structure that represents a cryptographic key.
aws-auto-scaling,
uipath-studio,UiPath Studio is a powerful and user-friendly automation canvas and essential component for UiPath platform.
azure-cognitive-services,"Use this tag for Azure Cognitive services questions including Vision, Speech, Language, Decision &amp; Web Search APIs and SDKs."
maven-assembly-plugin,"The Assembly Plugin for Maven is primarily intended to allow users to aggregate the project output along with its dependencies, modules, site documentation, and other files into a single distributable archive."
plist,"A plist file, also known as a &quot;Property List&quot; file, stores serialized objects such as arrays, dictionaries, and strings."
dataproc,
stdvector,"std::vector is a contiguous sequence container in the C++ standard library. Its storage is handled automatically, so appending elements or resizing may cause the vector to allocate more memory. Use this tag for questions about std::vector or involving a std::vector."
mangodb,"MangoDB is an ORM for MongoDB, used with the Kohana PHP framework."
autocloseable,"java.lang.AutoCloseable is an interface which, when implemented by a class, can be used in the try-with-resources Statement. It is ensured that resource/class object is closed at the end of the statement."
spring-cloud-feign,Use this tag for question related to the use of Feign declarative REST client inside the spring cloud ecosystem.
vtk,"The Visualization Toolkit (VTK) is an open-source, freely available software system for 3D computer graphics, image processing and visualization. VTK consists of a C++ class library and several interpreted interface layers including Tcl/Tk, Java, and Python."
django-2.2,"Django 2.2 is a version of the Django framework, released April 2019. It is a Long Term Support (LTS) release, and will be supported until at least April 2022. Please only use this tag if your question relates specifically to this version."
hardcoded,"Parameters or variables in a program are considered as hard-coded, if they represent a constant value that can&#39;t be changed by configuration or via any kind of interface. The only way to change them is to modify the program itself."
phone-number,"A telephone number or phone number is a sequence of digits used to call from one telephone line to another in a public switched telephone network(PSTN). When telephone numbers were invented, they were short — as few as one, two or three digits — and were given orally to a switchboard operator. As phone systems have grown and interconnected to encompass the world, telephone numbers have become longer. "
extjs,Sencha Ext JS is a JavaScript framework for building rich Internet applications (RIAs).
dts,"Data Transformation Services, or DTS, is a set of objects and utilities to allow the automation of extract, transform and load operations to or from a database. The objects are DTS packages and their components, and the utilities are called DTS tools. DTS was included with earlier versions of Microsoft SQL Server, and was almost always used with SQL Server databases, although it could be used independently with other databases."
kdiff3,KDiff3 is a diff/merge program that compares or merges two or three text input files or directories and shows the differences line by line and character by character (!).
angular-ngselect,"Angular 5+ ng-select - Lightweight all in one UI Select, Multiselect and Autocomplete"
1password,
terraform-provider-azure,
internal-representation,
bindinglist,A .Net framework component that provides a generic collection that supports databinding. Part of the System.ComponentModel namespace. In use since .Net framework version 2.0
compound-drawables,
google-cloud-bigtable,"Google Cloud Bigtable is a fast, fully managed, massively scalable NoSQL database service designed for applications requiring terabytes to petabytes of data. Cloud Bigtable doesn&#39;t require you to sacrifice speed, scale, or cost efficiency when your applications grow."
beta,Software development phase where the application is considered &quot;feature complete&quot; but still may have numerous bugs and usability issues.
azure-data-catalog,Azure Data Catalog is an enterprise-wide metadata catalog that makes data source discovery trivial. 
font-awesome,"Font Awesome is an iconic standalone vector font, initially developed for use with the Twitter Bootstrap front-end framework. "
mobile-ffmpeg,
job-scheduling,A job scheduler is a computer application for controlling unattended background program execution (commonly called batch processing).
python-performance,Performance of Python programs and special Python constructs.
unzip,"Unzipping is uncompressing ZIP archives, the opposite of zipping."
rmysql,An R package for interfacing with MySQL and MariaDB databases.
sapi,SAPI is Microsoft&#39;s Speech API which provides text-to-speech (TTS) and speech recognition (SR) functionality to applications.
nfc,"Near Field Communication (NFC) is a set of short-range communication protocols that enables electronic devices to exchange data within short distances of roughly 10 cm or less. Can be used with Tags [mifare] [iso-15693] [ndef] [nfc-p2p], etc., as some questions are very specific to the NFC Tag type."
riscv,"For questions related to RISC-V assembler, compiler specifics and HDL (hardware description language) implementation and use. Note: Questions on hardware implementation will be more appropriate for the electronics engineering site: https://electronics.stackexchange.com/"
exp,The Exponential - aka exp(x) function
pdf-viewer,An application that allows users to view Portable Document Format (PDF) files.
acfpro,"ACF PRO is the professional version of ACF (Advanced Custom Fields), a plugin for WordPress"
prost,
fouc,A flash of unstyled content (FOUC) is an instance where a web page appears briefly with the browser&#39;s default styles prior to loading an external CSS stylesheet.
fetch-api,"The Fetch API is an improved replacement for XHR, for making asynchronous HTTP requests while better managing  redirects and interaction with CORS and Service Workers."
datatables,"DataTables is a plug-in for the jQuery JavaScript library. It is a highly flexible tool, based upon the foundations of progressive enhancement, which will add advanced interaction controls to any HTML table. Do not use this together with [datatable]."
user-defined-types,"User-Defined Type (UDT) is a type that customize by user. And also called as User-Defined Data Type in database management systems. It&#39;s usually used for making some integrations and applying standards. Some related systems are SQL Server, Oracle, PostgreSQL, C++, Visual Basic and etc."
application-lifecycle,
shellcode,A shellcode is a small piece of code used as the payload in the exploitation of a software vulnerability.
xquartz,XQuartz is the X11 DDX that interfaces with Mac OS X.  It was formerly shipped by Apple in OS X as X11.app and later transitioned to an Open Source project.
authorization-header,
type-definition,
onstart,onStart refers to one of the lifecycle methods for several components on the Android platform.
forwarding-reference,"A forwarding reference refers to a reference type that may either be an lvalue reference or an rvalue reference depending on its initializer. They allow the user to employ perfect-forwarding. The term applies either to a parameter of type T&amp;&amp; where T is a template parameter type or auto, as well as to auto&amp;&amp; local variables."
mpeg,"MPEG - Class of Compression standards and related algorithms, tools and systems"
parameter-splatting,A PowerShell technique for passing parameter values via hash tables or arrays rather than individually.
tthread,
viewchildren,
vaadin-flow,"Vaadin Flow is the new generation of the user-interface toolkit for building professional-looking, business-oriented single-page web apps in Java. Now based on standard Web Components technology."
c99,"This tag is for questions regarding the International Standard ISO 9899:1999, aka      &quot;C99&quot;, with technical corrigenda, and for questions about code written in C99 (as opposed to K&amp;R C, C89 or later C Standard revisions like the 2011 revision C11)."
mschart,"This tag refers to the System.Windows.Forms.DataVisualization.Charting and System.Web.ui.datavisualization.charting Namespaces, used to create controls for charting using the .NET framework."
asp.net-mvc-scaffolding,ASP.NET MVC Scaffolding is a scaffolding package for quickly generating a basic outline of your software that you can then edit and customise.
uri,"A Uniform Resource Identifier (or URI) is a string of characters used to identify a name or resource. URI is legacy terminology. In most cases, the term URL should be used instead."
vbo,A Buffer Object is an OpenGL object that allows users to store data on the GPU. Vertex Buffer Objects (VBOs) are buffer objects used to store vertex data for non-immediate-mode rendering.
ant,"Apache Ant (formerly Jakarta Ant) is a declarative, XML-based build tool created originally for Java projects.  It provides a rich set of standard tasks for performing most common build operations, such as compiling Java source, building archives and running tests.  Ant&#39;s functionality can be extended through custom tasks and macros.
"
placement-new,In C++ placement new is used to construct an object at a particular memory location or to pass additional arguments to an allocation function.
pug,"Pug (formerly known as Jade) is a robust, elegant and feature-rich template engine for Node.js."
django-deployment,django-deployment refers to questions about different ways to deploy Django applications
gcc-extensions,GCC provides extensions not found in ISO standard C or C++.
read-data,
ios-enterprise,The question is regarding an iOS Enterprise App. These apps are not released to the Apple iTunes App Store and does not go thru the App Store review process. For these kind of apps the developer can chose to ignore many rules set by Apple and also use private APIs if this is required for the apps functionality. Developers making apps using the iOS Enterprise Developer Program know that private APIs can change in the future but often have good reasons.
log4j2,"Log4j 2 is an upgrade to Log4j, a Java-based logging utility, that provides significant improvements over its predecessor, Log4j 1.x, and provides many of the improvements available in Logback while fixing some inherent problems in Logback&#39;s architecture. "
exchange-server,Questions about automation and APIs related to Microsoft&#39;s Enterprise level messaging server.
metadata,Meta-data provides information about one or more aspects of the data. Meta-data may refer to either structural metadata (data about the containers of data) or descriptive metadata (data about data content).
stm32cubeide,
workflow-foundation,"windows workflow foundation…
provides a programming model, in-process workflow engine and rehostable designer to implement long-running processes as workflows within .NET applications.
"
line-breaks,Whitespace that forces text layout to continue at the start of the next line.
include-path,"An include path is a set of directories that contain headers or library files that should be accessed with no prefixed directory. Include paths normally include the location of the standard library, locations of third party libraries, and locations of system headers."
groupingby,
offset,"The relational position of an entity, when compared to another entity with fixed position. Typically used, for example, to define location within a file or byte buffer from which information should be read."
ceph,"Ceph is a distributed object store and file system designed to provide excellent performance, reliability and scalability."
pentaho-data-integration,Tag to be used for Pentaho Data Integration (all versions). Pentaho Data Integration prepares and blends data to create a complete picture of your business that drives actionable insights. 
maven-publish,
po,PO files are the format of the GNU gettext translation files.
jwt,"JSON Web Token (JWT, pronounced &quot;jot&quot;) is a type of token-based authentication used in space-constrained environments such as HTTP Authorization headers. Use this tag for questions relating to the configuration, generation and usage of JWTs in your code."
xmlhttprequest,"XMLHttpRequest (XHR) is a JavaScript object that exposes an API for making asynchronous HTTP requests from frontend code running a Web browser —  that is, for enabling the programming technique known as AJAX. The XHR API is a legacy API. It has been superseded by the Fetch API."
version-numbering,
hash-location-strategy,
react-state,
angular-localize,
mysql-connector,"MySQL provides standards-based drivers for JDBC, ODBC, and .NET enabling developers to build database applications in their language of choice. In addition, a native C library allows developers to embed MySQL directly into their applications."
type-mismatch,"A type mismatch error is usually found in the context of strong typed languages. Occurs while assigning values between unrelated, incompatible or unconvertible values. For example assigning a string value to a number.

The variable or property isn&#39;t of the correct type. For example, a variable that requires an integer value can&#39;t accept a string value unless the whole string can be recognized as an integer."
samsung-mobile,This tag is for questions related to application development issues affecting just Samsung Mobile devices.
jsdoc3,"JSDoc3 is an API documentation generator for JavaScript. It can be customised via a plugin mechanism and the output can be controlled via templates.

It is written in Javascript and can be run with Node.js or Rhino."
i18n-js,
idisposable,"IDisposable is an interface within the Microsoft .NET Framework&#39;s Base Class Library (BCL). It is intended to provide a generic, deterministic method of releasing unmanaged resources within .NET application code."
google-play-games,"The Google Play Games services SDK provides cross-platform game services that lets you easily integrate popular gaming features such as achievements, leaderboards, and Cloud Save in your web-based games. "
readelf,readelf displays information about ELF object files
criteria-api,"This tag is for questions related to the Java Persistence Criteria API (from JPA 2.0) which is used to define queries through the construction of object-based query definition objects, rather than use of the string-based approach of the Java Persistence query language.

For questions related to (N)Hibernate Criteria, use the [icriteria] tag.

"
kotlin-null-safety,
android-app-quick-setting,
fbprophet,
draggable,An element capable of being dragged.
legend-properties,legend-properties refers to various chart libraries and the ability to programmatically customise legends in charts generated by those libraries.
many-to-one,
exit,"Exiting, quitting, or halting refers to the termination of a process or program."
sass-maps,
android-ffmpeg,Android ffmpeg wrapper are used to add the magic of free open source Ffmpeg inside android platform.
tclsh,Simple shell containing Tcl interpreter. Consider using the tcl tag instead for language issues.
screen-capture,"Screen capturing is the act of copying the content of the screen to an image or other data structure, either to a file or memory."
jq,"jq is a sed-like tool for JSON data – you can use it to slice, filter, map, and transform structured data with the same ease that sed, awk, grep and friends lets you play with text."
huggingface-tokenizers,"Use this tag for questions related to the tokenizers project from huggingface.

Github: https://github.com/huggingface/tokenizers"
plugin-architecture,Plugin architecture is an approach to creating software that allows adding additional functionality at configuration or even run-time by adding so called &quot;plug-in&quot;s . Each plug-in is capable to add customized capabilities to the base software. Often plugins are available via a public repository for download or even direct installation from the base software. 
netty,An open source asynchronous event-driven network application framework written in Java. It is a NIO client server framework which enables quick and easy development of network applications such as protocol servers and clients
slatejs,
ccxt,"The CCXT library is used to connect &amp; trade with cryptocurrency / altcoin exchanges &amp; payment processing services worldwide. It provides quick access to market data for storage, analysis, visualization, indicator development, algorithmic trading, strategy backtesting, bot programming, webshop integration and related software engineering. Use with topics related to the CCXT library which unifies a vast amount of crypto exchange APIs into one."
git-config,This command allows get and set repository or global options.
document.write,A DOM Level 2 HTML method that writes a string of text to a document stream opened by document.open().
system.reactive,"System.Reactive refers to the Reactive Extensions for .NET, also known as Rx.  Rx provides developers with a reactive programming model over the generic IObservable&lt;T&gt; interface, as opposed to the traditional imperative programming model or the other reactive programming models that rely strictly on .NET Events or specific APIs."
zstandard,Real-time compression algorithm and software.
rounded-corners,Name of a user interface design feature which replaces the 90 degree angle formed at the end points of two perpendicular lines.
angular-library,Angular library is a means for building general solutions that can be adapted for re-use in different apps. They also can be published and shared as npm packages.
sql-server-2017,Use this tag for questions specific to the 2017 version of Microsoft&#39;s SQL Server. 
background-image,The background-image CSS property sets one or more background images for an element.
android-5.0-lollipop,"Android Lollipop, formerly known as just &quot;Android L&quot;, was first shown at Google I/O 2014. The final name was confirmed on October 15th. It supports API Level 21."
rfo,
monads,A monad in programming is a composable computation description.  Monads are an important construct in functional programming languages like Haskell.
f-string,Literal string interpolation in Python
python-2.7,"Python 2.7 is the last major version in the 2.x series, and is no longer maintained since January 1st 2020. Use the generic [python] tag on all Python questions. Do not add this tag simply to convey the version of Python you&#39;re using, unless the question concerns an issue specific to Python 2.7."
iphone-x,Only use this tag for questions that specifically apply to the Apple iPhone X device. Use the [ios] tag for questions related to iOS. Hardware questions generally belonging to the iPhone X should be in the Ask Different community.
simd,"Single instruction, multiple data (SIMD) is the concept of having each instruction operate on a small chunk or vector of data elements.  CPU vector instruction sets include: x86 SSE and AVX, ARM NEON, and PowerPC AltiVec. To efficiently use SIMD instructions, data needs to be in structure-of-arrays form and should occur in longer streams. Naively &quot;SIMD optimized&quot; code frequently surprises by running slower than the original."
bpf,"The Berkeley Packet Filter (BPF, or cBPF) was initially introduced to provide a raw interface to data link layers in a protocol independent fashion, on BSD systems and then on Linux.

More recently, it has been reworked on Linux to give birth to the extended BPF, or eBPF. The latter can be used for network processing at several levels, as well as for security applications, or even tracing and monitoring use cases. This tag is for all cBPF/eBPF questions."
android-togglebutton,A toggle button allows the user to change a setting between two states.
premature-optimization,Premature optimization is the optimizing of code for performance reasons before the code has been measured or profiled to determine if the optimization will actually be beneficial.
.net-standard-2.0,
fxyz3d,FXyz3D is an open source JavaFX 3D Visualization and Component Library
frontend,The user-facing part of an application. In a desktop application this would include the windowing framework and the forms the user interacts with; in a command line program it would be the available commands and arguments; and in a web app it would refer to the HTML and JavaScript. 
docstring,"A docstring is a string that occurs as the first statement in a module, function, class, or method definition, and is used to document the object in which it occurs."
itext,Library to create and manipulate PDF documents in Java and C#. Use this tag for code using iText versions up to 5.5.x. For iText versions from 7.0.0 onwards a separate tag &quot;itext7&quot; is available.  Remember to also add the tag for the language you&#39;re using.
billingclient,
subplot,subplot is a Matlab / Matplotlib function which divides the current figure into a grid. Each block in the grid can contain an axes object which can be manipulated and used for plotting.
rethinkdb,"RethinkDB is a scalable, open-source, distributed database system built to store JSON documents. It features a query language that has useful queries like table joins and group by, a highly parallelized architecture, and web tools for managing clusters."
dacpac,"DACPAC, or Data-tier Application Component Packages, is a feature in SQL Server 2008 that allows developers to package database changes into a single file in Visual Studio and send it to the DBAs for deployment."
big-ip,"Q&amp;A and discussion posts around F5&#39;s BIG-IP&#39;s security and application delivery controller solutions.  Ask about configuration, installation, performance or anything else you can think of."
iasyncdisposable,
basic,BASIC (Beginner’s All-purpose Symbolic Instruction Code) is a family of high-level programming languages designed to be easy to use.
mergetool,"a tool used to resolve merge conflicts identified by source control systems like git, Mercurial, or Subversion/svn, such as kdiff3"
primefaces,PrimeFaces is a JSF (Java Server Faces aka Jakarta Faces) component library that ships with a large set of rich components which utilizes jQuery under the covers as well as a few other select JavaScript libraries.   It is a very mature library with an active development community.
clean-architecture,The Clean Architecture is a software architecture proposed by Robert C. Martin (better known as Uncle Bob). This architecture is similar to the Onion-Hexagonal-DCI-Architecture proposed by their respective authors. The base of this architecture is to follow and obey rules of the &#39;Dependency Rule&#39;.
flutter-dependencies,For questions relating to the use of and issues with any use of flutter-specific dependencies in dart&#39;s pubspec.yaml
game-maker-language,General Game Maker Language (GML) support. The programming language used in Game Maker and Game Maker: Studio.
use-reducer,For questions regarding the `useReducer` hook in React. `useReducer` is an alternative way to manage complex state by defining a reducer function that creates the next state based on the current state and a dispatched action.
react-leaflet,React components for Leaflet maps.
influxdb-2,
twilio-php,"Use to identify questions related to use of, or problems with, Twilio&#39;s PHP Helper Library."
ansible-template,"Use this tag for questions regarding writing and processing Ansible templates, Jinja2 syntax within Ansible, custom filters."
androidhttpclient,"Implementation of the Apache DefaultHttpClient that is configured with reasonable default settings and registered schemes for Android

This class was deprecated in API level 22 (Android 5.1).
Please use URLConnection and friends instead. The Apache HTTP client is no longer maintained and may be removed in a future release. Please visit this webpage for further details."
passport-linkedin,
http-patch,PATCH is one of the http-request methods
python-attrs,Use for questions about the third-party Python library for data classes
dbplyr,"dbplyr: A &#39;dplyr&#39; Back End for Databases

"
influxql,"Use this tag for questions related to InfluxQL, an SQL-like query language for interacting with data in InfluxDB."
parcel,"In Android, a Parcel is a container for a message (data and object references). It&#39;s a high-performance alternative to Java&#39;s standard serialization."
matrix,"In mathematics, a matrix (plural matrices) is a rectangular array of numbers, symbols, or expressions, arranged in rows and columns. The individual items in a matrix are called its elements or entries."
heroku-api,"The platform API empowers developers to automate, extend and combine Heroku with other services"
easyadmin,EasyAdmin is a Symfony bundle that lets you create administration backends for Symfony applications with unprecedented simplicity.
loadimage,
sktexture,An SKTexture object is an image that can be applied to SKSpriteNode objects or particles created by a SKEmitterNode object.
revenue,
sdp,"The Session Description Protocol (SDP) describes multimedia sessions for the purpose of session announcement, session invitation and other forms of multimedia session initiation. "
django-authentication,django-authentication refers to the built-in auth module for authentication &amp; authorization that can be extended.
deep-residual-networks,"A residual neural network is a class of deep, feed-forward artificial neural networks that utilizes skip connections or short-cuts to jump over some layers in order to make the optimization of very deep networks tractable. "
http-status-code-301,The 301 or Moved Permanently error message is a HTTP standard response code indicating that the requested resource has been assigned a new permanent URI. Future references should use one of the returned URIs.
redirect,"A response by a webserver, that asks the user agent to not show the response body, but instead request a different resource. Questions can be related to Redirect Protocols, Link Equity and Types of Redirects."
syncfusion,"Founded in 2001, Syncfusion, Inc. provides a broad range of enterprise-class software components and tools for the Microsoft .NET platform. Syncfusion also supports various platforms like: Angular, jQuery, Xamarin etc.
More information is available at : https://www.syncfusion.com/"
react-native-fs,
docker-compose,"Compose is a tool for defining and running complex applications with Docker. With Compose, you define a multi-container application in a single file, then spin your application up in a single command which does everything that needs to be done to get it running."
pseudo-destructor,"A destructor for a non-class type, primarily used for calling destructors in templates"
jsf-2,"JavaServer Faces (JSF) is a model-view-presenter framework typically used to create web applications. Version 2.x is a major step ahead compared to JSF 1.x, significantly expanding the standard set of components and component libraries."
c89,"This tag is for questions regarding the international standard ISO 9899:1990, also known as &quot;C89&quot;, &quot;C90&quot; or &quot;ANSI C&quot;, with amendments and technical corrigenda (as opposed to K&amp;R C, C99, C11 or later C standard revisions)."
web3,Web3 is the JavaScript framework for interacting with Ethereum blockchain. Use web3 for questions involving Ethereum Web3 framework.
recode,"Recoding refers to the process of modifying the values of dataset, matrix, or vector according to a set of rules by which input values are changed to replacement values."
google-cloud-firestore,"Cloud Firestore is an auto-scaling real-time document database for storing, syncing, and querying data for mobile, web and server development."
node-addon-api,"node-addon-api is the C++ wrapper for N-API, the ABI stable library to build addons for Node.js."
webrtc-android,
quota,"A quota is a limited quantity of things, such as storage, bandwidth, etc."
trace,A trace is a log of execution of a process or method.
jdbi3,
tradingview-api,"TradingView is a financial web-platform and a social network for traders. Use this tag for questions related to the programming API of TradingView products: Charting Library, Social Tools, Widgets. If you have questions about the Pine Script language use the [pine-script] tag. Do not use this tag for questions about the website."
prototype,"In prototype-based languages, the prototype of an object is a set of properties which is inherited by all objects which are based on this object. Not to be confused with [function-prototype], [prototype-js], [prototype-pattern], [prototype-scope] or [prototypejs]; see the full info for details."
android-appcompat,The App Compat Support Library package contains several libraries that can be included in your application. Each of these libraries supports a specific range of Android platform versions and set of features.
shareplum,SharePlum is a Python package that offers an easy way to work with SharePoint services. It handles all of the messy parts of dealing with SharePoint and allows you to write clean and Pythonic code.
android-drawer,
chrome-custom-tabs,"Chrome Custom Tabs provides a way for an application to customize and interact with a Chrome Activity on Android, to make it a part of the application experience, while retaining the full functionality and performance of a complete web browser."
z-axis,The z-axis on a graph is the axis that is usually drawn as if vertical and usually shows the range of values of a variable dependent on two other variables or the third independent variable.
intellij-14,"IntelliJ IDEA is a popular IDE by JetBrains. Originally created for Java, it currently supports a lot more languages, including: JavaScript, Groovy, HTML, CSS, RSS, R, Haskell, PHP, Ruby, Python, Scala, Clojure, Kotlin. "
associative-array,An associative array is an abstract data type composed of a collection of unique keys mapped to a collection of values.
pure-virtual,"A virtual function that must be implemented by every non-abstract derived class. Typically, this is used when the progammer wants to guarantee that a function will exist at run-time but where there are multiple ways of defining its behaviour with no obvious &quot;best way&quot;."
parity,"A parity bit, or check bit, is a bit that is added to ensure that the number of bits with the value one in a set of bits is even or odd. Parity bits are used as the simplest form of error detecting code."
asyncapi,
pentaho-spoon,Spoon is the graphical transformation and job designer associated with the Pentaho Data Integration suite — also known as the Kettle project.
spread-expression,"TypeScript expression to spread arrays like [...arr, 123] or objects { ...obj, myProp: 123 }"
glyphicons,"Glyphicons is a library of monochromatic icons available in raster image formats, vector image formats, and as fonts. A base subset of the library is included with Twitter Bootstrap."
photoshop-sdk,
react-datepicker,"React datepicker is a useful component that displays a simplified datepicker,
it allows the user to select a date easily without having to know the format that the input expects."
child-fragment,
interact.js,interact.js is a standalone javascript module for handling single-pointer and multi-touch drags and gestures.
file-conversion,"Use this tag for questions about conversion from one file format to another. If applicable, use a more specific tag like [image-conversion], [video-conversion] or [pdf-conversion]."
azure-rest-api,
sqlplus,"SQL*Plus is a command-line interface for the Oracle RDBMS product. SQL*Plus questions should probably be also tagged with oracle.
"
persistent-memory,"Use this tag for questions related to programming for persistent memory (also known as SCM or NVRAM), which is a type of byte-addressable non-volatile memory that is physically present on the main memory bus and can be accessed using regular load and store instructions. Do not use this tag for hardware related and/or end-user issues, those might fit on Super User."
researchkit,ResearchKit is an open source software framework that makes it easy to create apps for medical research or for other research projects.
percentage,Percentage is a ratio or fraction of a quantity that shows the ratio from whole part of quantity. Percentage demonstrate how much part is there out of 100.
url,"A URL (Uniform Resource Locator), is a universal identifier on the web. A URL is a reference to a web resource at a specific location, and provides a means for retrieving that resource."
bluetooth,"Bluetooth is a global open wireless technology standard for exchanging data over short distances (using short wavelength radio transmissions) from fixed and mobile devices, creating personal area networks (PANs) with high levels of security."
diamond-problem,"In object-oriented programming languages with multiple inheritance and knowledge organization, the diamond problem is an ambiguity that arises when two classes B and C inherit from A, and class D inherits from both B and C."
rcpparmadillo,
loopback,"In telecommunications, loopback, or a loop, is a hardware or software method which feeds a received signal or data back to the sender."
bing-maps,"For questions about the Bing Maps API, a cloud mapping platform provided by Microsoft&#39;s Bing. This API is used to power map experiences in Microsoft and third-party applications, including web, Windows Forms, WPF, and UWP applications."
material-ui,"React Components that Implement Google&#39;s Material Design. Please note that this tag should be used for questions regarding the Material-UI framework. Otherwise, see the tag&#39;s info for other tags to use."
std,"The C++ Standard Library, and its namespace. Use in conjunction with [c++]."
django-haystack,Haystack is a modular search app for Django projects. It aims to provide a familiar API for django developers that does not depend on the backend used for searching.
interaction,
crc,A cyclic redundancy check (CRC) is an error-detecting code commonly used in digital networks and storage devices to detect accidental changes to raw data.
armadillo,Armadillo is a linear algebra library for C++ that makes use of template metaprogramming and delayed evaluation.
wpf-controls,"WPF controls include UserControls, which are composite collections of other controls, and CustomControls, which are controls built with WPF styles and templates."
wcsession,The WCSession class facilitates communication between a WatchKit extension and its companion iOS app. Please only use this tag for questions directly directed at the WCSession class and the WCSessionDelegate protocol. For other questions consider the &#39;watchconnectivity&#39; or &#39;watchkit&#39; tags.
udp,"User Datagram Protocol is one of the messaging protocols of the IP protocol stack.  With UDP, computer applications can send messages to other hosts on an Internet Protocol (IP) network without requiring prior communications to set up special transmission channels or data paths. "
opencv-python,"THIS TAG IS PENDING REMOVAL. Instead, please use [opencv] and [python] tags. (More information: https://meta.stackoverflow.com/questions/385792)

This tag is used when asking questions related to OpenCV, exclusively when Python is used as the programming language. The tag does not suit any question pertaining to OpenCV for any other languages"
systemmodeler,"Wolfram SystemModeler, developed by Wolfram MathCore, is a platform for engineering as well as life science modeling and simulation based on the Modelica language."
